Music_ID,Title,Artist,Album,Duration,Genre,Release_Date
0,Baddie,IVE,I'VE MINE,0:02:35,Dance,2023.10.13
1,Love Lee,AKMU,Love Lee,0:03:00,Dance,2023.8.21
2,\ud6c4\ub77c\uc774\uc758 \uafc8,AKMU,Love Lee,0:03:25,Dance,2023.8.22
3,You & Me,\uc81c\ub2c8,JENNIE Special Single [You & Me],0:02:40,Dance,2023.10.6
4,Perfect Night,LE SSERAFIM,Perfect Night,0:03:05,Dance,2023.10.27
5,Seven (feat. Latto) - Clean Ver.,\uc815\uad6d,Seven (feat. Latto) - Clean Ver.,0:04:04,Dance,2023.7.14
6,\ud5e4\uc5b4\uc9c0\uc790 \ub9d0\ud574\uc694,\ubc15\uc7ac\uc815,1\uc9d1 Alone,0:02:47,Ballad,2023.4.20
7,Either Way,IVE,I'VE MINE,0:03:30,Dance,2023.10.13
8,"Smoke (Prod. Dynamicduo, Padi)","\ub2e4\uc774\ub098\ubbf9 \ub4c0\uc624, \uc774\uc601\uc9c0",\uc2a4\ud2b8\ub9bf \uc6b0\uba3c \ud30c\uc774\ud1302(SWF2) \uacc4\uae09\ubbf8\uc158,0:02:35,Dance,2023.9.5
9,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',0:03:04,Dance,2023.7.21
10,I AM,IVE,I've IVE,0:04:20,Dance,2023.4.10
11,\uc0ac\ub9c9\uc5d0\uc11c \uaf43\uc744 \ud53c\uc6b0\ub4ef,\uc6b0\ub514,\uc0ac\ub9c9\uc5d0\uc11c \uaf43\uc744 \ud53c\uc6b0\ub4ef,0:02:32,Ballad,2023.7.14
12,ETA,NewJeans,NewJeans 2nd EP 'Get Up',0:02:41,Dance,2023.7.21
13,Fast Forward,\uc804\uc18c\ubbf8,GAME PLAN,0:03:35,Dance,2023.8.7
14,Drama,aespa,Drama - The 4th Mini Album,0:03:26,Dance,2023.11.10
15,\uc74c\uc545\uc758 \uc2e0,\uc138\ube10\ud2f4,SEVENTEEN 11th Mini Album \u2018SEVENTEENTH HEAVEN',0:02:41,Dance,2023.10.23
16,Get A Guitar,RIIZE,Get A Guitar,0:02:42,Dance,2023.9.4
17,\ud038\uce74 (Queencard),(\uc5ec\uc790)\uc544\uc774\ub4e4,I feel,0:02:31,Dance,2023.5.15
18,I Love My Body,\ud654\uc0ac,I Love My Body,0:02:57,Dance,2023.9.6
19,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',0:04:54,Dance,2022.8.1
20,\uc7a0\uc2dc\ub77c\ub3c4 \uc6b0\ub9ac,\uc131\uc2dc\uacbd,\uc7a0\uc2dc\ub77c\ub3c4 \uc6b0\ub9ac,0:03:27,Ballad,2023.10.19
21,Standing Next to You,\uc815\uad6d,GOLDEN,0:03:00,Dance,2023.11.3
22,Bubble,STAYC,TEENFRESH,0:03:09,Dance,2023.8.16
23,Off The Record,IVE,I'VE MINE,0:03:06,Dance,2023.10.13
24,Ditto,NewJeans,NewJeans 'OMG',0:04:19,Dance,2023.1.2
25,"\uc798 \uc9c0\ub0b4\uc790, \uc6b0\ub9ac (\uc5ec\ub984\ub0a0 \uc6b0\ub9ac X \ub85c\uc774\ud0b4)",\ub85c\uc774\ud0b4,"\uc798 \uc9c0\ub0b4\uc790, \uc6b0\ub9ac (\uc5ec\ub984\ub0a0 \uc6b0\ub9ac X \ub85c\uc774\ud0b4)",0:04:03,Ballad,2023.7.6
26,\uc0ac\ub791\uc740 \ub298 \ub3c4\ub9dd\uac00,\uc784\uc601\uc6c5,\uc2e0\uc0ac\uc640 \uc544\uac00\uc528 OST Part.2,0:04:03,Ballad,2021.10.11
