Music_ID,Title,Artist,Album,Duration,Genre,Release_Date
0,Baddie,IVE,I'VE MINE,0:02:35,Dance,2023.10.13
1,Love Lee,AKMU,Love Lee,0:03:00,Dance,2023.8.21
2,ÈÄ¶óÀÌÀÇ ²Þ,AKMU,Love Lee,0:03:25,Dance,2023.8.22
3,You & Me,Á¦´Ï,JENNIE Special Single [You & Me],0:02:40,Dance,2023.10.6
4,Perfect Night,LE SSERAFIM,Perfect Night,0:03:05,Dance,2023.10.27
5,Seven (feat. Latto) - Clean Ver.,Á¤±¹,Seven (feat. Latto) - Clean Ver.,0:04:04,Dance,2023.7.14
6,Çì¾îÁöÀÚ ¸»ÇØ¿ä,¹ÚÀçÁ¤,1Áý Alone,0:02:47,Ballad,2023.4.20
7,Either Way,IVE,I'VE MINE,0:03:30,Dance,2023.10.13
8,"Smoke (Prod. Dynamicduo, Padi)","´ÙÀÌ³ª¹Í µà¿À, ÀÌ¿µÁö",½ºÆ®¸´ ¿ì¸Õ ÆÄÀÌÅÍ2(SWF2) °è±Þ¹Ì¼Ç,0:02:35,Dance,2023.9.5
9,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',0:03:04,Dance,2023.7.21
10,I AM,IVE,I've IVE,0:04:20,Dance,2023.4.10
11,»ç¸·¿¡¼­ ²ÉÀ» ÇÇ¿ìµí,¿ìµð,»ç¸·¿¡¼­ ²ÉÀ» ÇÇ¿ìµí,0:02:32,Ballad,2023.7.14
12,ETA,NewJeans,NewJeans 2nd EP 'Get Up',0:02:41,Dance,2023.7.21
13,Fast Forward,Àü¼Ò¹Ì,GAME PLAN,0:03:35,Dance,2023.8.7
14,Drama,aespa,Drama - The 4th Mini Album,0:03:26,Dance,2023.11.10
15,À½¾ÇÀÇ ½Å,¼¼ºìÆ¾,SEVENTEEN 11th Mini Album ¡®SEVENTEENTH HEAVEN',0:02:41,Dance,2023.10.23
16,Get A Guitar,RIIZE,Get A Guitar,0:02:42,Dance,2023.9.4
17,ÄýÄ« (Queencard),(¿©ÀÚ)¾ÆÀÌµé,I feel,0:02:31,Dance,2023.5.15
18,I Love My Body,È­»ç,I Love My Body,0:02:57,Dance,2023.9.6
19,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',0:04:54,Dance,2022.8.1
20,Àá½Ã¶óµµ ¿ì¸®,¼º½Ã°æ,Àá½Ã¶óµµ ¿ì¸®,0:03:27,Ballad,2023.10.19
21,Standing Next to You,Á¤±¹,GOLDEN,0:03:00,Dance,2023.11.3
22,Bubble,STAYC,TEENFRESH,0:03:09,Dance,2023.8.16
23,Off The Record,IVE,I'VE MINE,0:03:06,Dance,2023.10.13
24,Ditto,NewJeans,NewJeans 'OMG',0:04:19,Dance,2023.1.2
25,"Àß Áö³»ÀÚ, ¿ì¸® (¿©¸§³¯ ¿ì¸® X ·ÎÀÌÅ´)",·ÎÀÌÅ´,"Àß Áö³»ÀÚ, ¿ì¸® (¿©¸§³¯ ¿ì¸® X ·ÎÀÌÅ´)",0:04:03,Ballad,2023.7.6
26,»ç¶ûÀº ´Ã µµ¸Á°¡,ÀÓ¿µ¿õ,½Å»ç¿Í ¾Æ°¡¾¾ OST Part.2,0:04:03,Ballad,2021.10.11
27,³ÊÀÇ ¸ðµç ¼ø°£,¼º½Ã°æ,º°¿¡¼­ ¿Â ±×´ë OST Part.7,0:03:36,Ballad,2014.2.12
28,ÀÎ»ç,¹üÁø,ÀÎ»ç,0:04:51,Ballad,2021.12.24
29,"€¾î¶»°Ô ÀÌº°±îÁö »ç¶ûÇÏ°Ú¾î, ³Î »ç¶ûÇÏ´Â °ÅÁö",AKMU,Ç×ÇØ,0:03:18,Ballad,2019.9.25
